age,age_group,gender,item_purchased,category,purchase_amount_(usd),location,colour,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
68,Seniors,Male,Skirt,Clothing,29,Georgia,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
49,Gen X Late,Male,Coat,Outerwear,95,Florida,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
63,Pre-Retirement,Male,Shirt,Clothing,28,North Carolina,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
56,Pre-Retirement,Male,Gloves,Accessories,46,Virginia,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
37,Gen X Early,Male,Jacket,Outerwear,58,Nebraska,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Bi-Weekly
30,Millennials,Male,Coat,Outerwear,48,Missouri,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
19,Gen Z,Male,Shoes,Footwear,43,New Jersey,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
24,Gen Z,Male,Jewelry,Accessories,95,Missouri,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
52,Gen X Late,Male,Skirt,Clothing,30,Colorado,Black,Fall,4.0,Yes,Standard,Yes,Yes,21,Venmo,Bi-Weekly
63,Pre-Retirement,Male,Shoes,Footwear,64,Idaho,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Bi-Weekly
37,Gen X Early,Male,Gloves,Accessories,90,Wyoming,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
38,Gen X Early,Male,Pants,Clothing,76,Delaware,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
35,Gen X Early,Male,Boots,Footwear,96,California,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
28,Millennials,Male,Sunglasses,Accessories,47,North Dakota,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
30,Millennials,Male,Shirt,Clothing,85,South Carolina,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
69,Seniors,Male,Hoodie,Clothing,55,North Carolina,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
41,Gen X Early,Male,Dress,Clothing,98,Oklahoma,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
63,Pre-Retirement,Male,Socks,Clothing,77,Maine,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
35,Gen X Early,Male,Shorts,Clothing,26,Missouri,Lavender,Fall,4.0,Yes,Standard,Yes,Yes,40,Debit Card,Annually
36,Gen X Early,Male,Hat,Accessories,68,Vermont,Yellow,Fall,3.0,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Bi-Weekly
25,Millennials,Male,Shirt,Clothing,73,Connecticut,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
58,Pre-Retirement,Male,Gloves,Accessories,27,New Hampshire,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
27,Millennials,Male,Gloves,Accessories,23,Texas,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
65,Seniors,Male,Backpack,Accessories,49,North Dakota,Olive,Fall,3.0,Yes,Express,Yes,Yes,29,Venmo,Bi-Weekly
54,Gen X Late,Male,Sunglasses,Accessories,74,California,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
54,Gen X Late,Male,Skirt,Clothing,67,Virginia,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
59,Pre-Retirement,Male,Handbag,Accessories,65,Delaware,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Bi-Weekly
42,Gen X Early,Male,Handbag,Accessories,60,Kentucky,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
46,Gen X Late,Male,Sneakers,Footwear,31,Delaware,Indigo,Fall,4.0,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
33,Millennials,Male,Gloves,Accessories,27,Arkansas,Green,Fall,4.0,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
34,Millennials,Male,Shoes,Footwear,80,Louisiana,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5,Cash,Bi-Weekly
27,Millennials,Male,Jacket,Outerwear,30,Nevada,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
52,Gen X Late,Male,Shirt,Clothing,25,Wyoming,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
29,Millennials,Male,Shorts,Clothing,35,Virginia,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
54,Gen X Late,Male,Jewelry,Accessories,67,Nebraska,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
25,Millennials,Male,Hat,Accessories,46,Hawaii,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
41,Gen X Early,Male,Shoes,Footwear,35,Vermont,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
53,Gen X Late,Male,Coat,Outerwear,86,Oklahoma,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
53,Gen X Late,Male,Backpack,Accessories,81,New Hampshire,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
21,Gen Z,Male,Hoodie,Clothing,42,Kansas,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
61,Pre-Retirement,Male,Skirt,Clothing,43,Idaho,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
64,Pre-Retirement,Male,Boots,Footwear,31,Illinois,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Bi-Weekly
51,Gen X Late,Male,Sandals,Footwear,81,South Dakota,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Bi-Weekly
32,Millennials,Male,Pants,Clothing,61,Massachusetts,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
38,Gen X Early,Male,Gloves,Accessories,96,Alabama,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
58,Pre-Retirement,Male,Skirt,Clothing,29,Ohio,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
32,Millennials,Male,Sneakers,Footwear,33,Hawaii,Cyan,Spring,3.0,Yes,Express,Yes,Yes,40,Cash,Bi-Weekly
46,Gen X Late,Male,T-shirt,Clothing,32,Wisconsin,Silver,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Bi-Weekly
39,Gen X Early,Male,Backpack,Accessories,56,Minnesota,Lavender,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
19,Gen Z,Male,Shoes,Footwear,94,Georgia,Purple,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
